Image name_1,Ground Truth_1,Watershed_1,Error_1,Image name_2,Ground Truth_2,Connected Component_2,Error_2,Image name_3,Ground Truth_3,Local Maxima_3,Error_3
049_,285,330,15.789473684210526,049_,285,330,15.789473684210526,049_,285,302,5.964912280701754
050_,415,488,17.59036144578313,050_,415,488,17.59036144578313,050_,415,480,15.66265060240964
051_,391,465,18.92583120204604,051_,391,465,18.92583120204604,051_,391,444,13.554987212276217
052_,395,445,12.658227848101266,052_,395,445,12.658227848101266,052_,395,426,7.848101265822785
053_,366,465,27.049180327868854,053_,366,467,27.595628415300546,053_,366,443,21.03825136612022
054_,329,384,16.717325227963524,054_,329,384,16.717325227963524,054_,329,367,11.55015197568389
055_,263,292,11.02661596958175,055_,263,292,11.02661596958175,055_,263,283,7.604562737642586
056_,356,368,3.3707865168539324,056_,356,368,3.3707865168539324,056_,356,365,2.528089887640449
057_,413,485,17.433414043583532,057_,413,486,17.675544794188863,057_,413,463,12.106537530266344
058_,406,415,2.2167487684729066,058_,406,415,2.2167487684729066,058_,406,408,0.4926108374384236
059_,312,345,10.576923076923077,059_,312,345,10.576923076923077,059_,312,325,4.166666666666666
060_,430,466,8.372093023255815,060_,430,466,8.372093023255815,060_,430,440,2.3255813953488373
061_,408,465,13.970588235294118,061_,408,465,13.970588235294118,061_,408,453,11.029411764705882
062_,407,444,9.090909090909092,062_,407,444,9.090909090909092,062_,407,427,4.914004914004914
063_,276,295,6.884057971014493,063_,276,295,6.884057971014493,063_,276,282,2.1739130434782608
064_,363,418,15.151515151515152,064_,363,419,15.426997245179065,064_,363,412,13.49862258953168
065_,382,506,32.460732984293195,065_,382,506,32.460732984293195,065_,382,480,25.654450261780102
066_,255,284,11.372549019607844,066_,255,284,11.372549019607844,066_,255,278,9.019607843137257
067_,209,220,5.263157894736842,067_,209,220,5.263157894736842,067_,209,211,0.9569377990430622
068_,312,338,8.333333333333332,068_,312,339,8.653846153846153,068_,312,329,5.448717948717949
069_,381,482,26.50918635170604,069_,381,485,27.296587926509183,069_,381,451,18.37270341207349
070_,357,411,15.126050420168069,070_,357,412,15.406162464985997,070_,357,404,13.165266106442578
071_,429,427,0.4662004662004662,071_,429,428,0.2331002331002331,071_,429,414,3.4965034965034967
072_,423,426,0.7092198581560284,072_,423,427,0.9456264775413712,072_,423,415,1.8912529550827424
073_,316,328,3.79746835443038,073_,316,328,3.79746835443038,073_,316,323,2.2151898734177213
074_,358,405,13.128491620111731,074_,358,405,13.128491620111731,074_,358,389,8.659217877094973
075_,305,306,0.3278688524590163,075_,305,306,0.3278688524590163,075_,305,307,0.6557377049180327
076_,326,422,29.4478527607362,076_,326,422,29.4478527607362,076_,326,406,24.539877300613497
077_,432,454,5.092592592592593,077_,432,455,5.324074074074074,077_,432,438,1.3888888888888888
078_,330,368,11.515151515151516,078_,330,368,11.515151515151516,078_,330,365,10.606060606060606
079_,361,454,25.761772853185597,079_,361,456,26.31578947368421,079_,361,414,14.681440443213296
080_,370,485,31.08108108108108,080_,370,486,31.351351351351354,080_,370,462,24.864864864864867
